time,robot_id,x,y,vx,vy
0.5200,9,111.882443,38.437900,0.551572,-0.308003
0.5400,0,10.900043,38.280067,0.570460,0.285791
0.5400,1,11.251316,38.268793,0.561059,0.303671
0.5400,2,11.602805,38.278733,0.569904,0.286885
0.5400,3,11.941680,38.278102,0.569647,0.287389
0.5400,4,12.291604,38.273647,0.566116,0.294216
0.5400,5,113.295742,38.424877,0.565308,-0.295762
0.5400,6,112.948055,38.430827,0.560457,-0.304782
0.5400,7,112.599501,38.428581,0.562695,-0.300662
0.5400,8,112.246513,38.426767,0.564560,-0.297174
0.5400,9,111.893565,38.431773,0.560529,-0.304650
0.5600,0,10.911537,38.285744,0.578826,0.281749
0.5600,1,11.262624,38.274828,0.569621,0.299725
0.5600,2,11.614288,38.284431,0.578283,0.282848
0.5600,3,11.953158,38.283810,0.578031,0.283354
0.5600,4,12.303011,38.279492,0.574576,0.290212
0.5600,5,113.307134,38.419001,0.573780,-0.291778
0.5600,6,112.959351,38.424769,0.569026,-0.300853
0.5600,7,112.610840,38.422606,0.571220,-0.296705
0.5600,8,112.257890,38.420863,0.573048,-0.293197
0.5600,9,111.904862,38.425718,0.569097,-0.300719
0.5800,0,10.923194,38.291334,0.586799,0.277207
0.5800,1,11.274099,38.280779,0.577811,0.295245
0.5800,2,11.625934,38.290043,0.586270,0.278308
0.5800,3,11.964799,38.289433,0.586025,0.278815
0.5800,4,12.314584,38.285252,0.582653,0.285692
0.5800,5,113.318691,38.413210,0.581871,-0.287275
0.5800,6,112.970814,38.418796,0.577225,-0.296388
0.5800,7,112.622347,38.416716,0.579370,-0.292222
0.5800,8,112.269432,38.415043,0.581156,-0.288699
0.5800,9,111.916326,38.419747,0.577294,-0.296254
0.6000,0,10.935006,38.296829,0.594398,0.272207
0.6000,1,11.285734,38.286635,0.585643,0.290271
0.6000,2,11.637736,38.295560,0.593883,0.273307
0.6000,3,11.976596,38.294960,0.593644,0.273814
0.6000,4,12.326315,38.290917,0.590363,0.280697
0.6000,5,113.330406,38.407513,0.589597,-0.282296
0.6000,6,112.982438,38.412917,0.585067,-0.291430
0.6000,7,112.634013,38.410921,0.587160,-0.287252
0.6000,8,112.281134,38.409318,0.588900,-0.283722
0.6000,9,111.927951,38.413871,0.585135,-0.291296
0.6200,0,10.946967,38.302220,0.601637,0.266787
0.6200,1,11.297522,38.292386,0.593133,0.284845
0.6200,2,11.649687,38.300973,0.601137,0.267885
0.6200,3,11.988542,38.300382,0.600906,0.268392
0.6200,4,12.338196,38.296477,0.597721,0.275267
0.6200,5,113.342273,38.401921,0.596971,-0.276880
0.6200,6,112.994214,38.407142,0.592568,-0.286018
0.6200,7,112.645831,38.405229,0.594603,-0.281837
0.6200,8,112.292986,38.403697,0.596295,-0.278306
0.6200,9,111.939729,38.408099,0.592634,-0.285884
0.6400,0,10.959069,38.307498,0.608530,0.260988
0.6400,1,11.309457,38.298026,0.600291,0.279005
0.6400,2,11.661779,38.306273,0.608047,0.262082
0.6400,3,12.000630,38.305693,0.607823,0.262587
0.6400,4,12.350222,38.301925,0.604739,0.269442
0.6400,5,113.354283,38.396441,0.604008,-0.271067
0.6400,6,113.006138,38.401479,0.599738,-0.280192
0.6400,7,112.657795,38.399650,0.601712,-0.276015
0.6400,8,112.304983,38.398188,0.603352,-0.272490
0.6400,9,111.951654,38.402439,0.599802,-0.280058
0.6600,0,10.971306,38.312657,0.615092,0.254847
0.6600,1,11.321532,38.303544,0.607129,0.272790
0.6600,2,11.674006,38.311454,0.614625,0.255935
0.6600,3,12.012853,38.310884,0.614409,0.256437
0.6600,4,12.362384,38.307252,0.611431,0.263259
0.6600,5,113.366431,38.391080,0.610718,-0.264896
0.6600,6,113.018202,38.395937,0.606588,-0.273991
0.6600,7,112.669897,38.394191,0.608498,-0.269825
0.6600,8,112.317118,38.392800,0.610084,-0.266313
0.6600,9,111.963719,38.396899,0.606650,-0.273857
0.6800,0,10.983671,38.317690,0.621332,0.248402
0.6800,1,11.333740,38.308935,0.613656,0.266238
0.6800,2,11.686362,38.316508,0.620883,0.249482
0.6800,3,12.025204,38.315948,0.620675,0.249981
0.6800,4,12.374677,38.312453,0.617806,0.256757
0.6800,5,113.378710,38.385847,0.617113,-0.258404
0.6800,6,113.030399,38.390522,0.613128,-0.267451
0.6800,7,112.682133,38.388859,0.614972,-0.263306
0.6800,8,112.329384,38.387538,0.616502,-0.259813
0.6800,9,111.975918,38.391487,0.613188,-0.267318
0.7000,0,10.996157,38.322591,0.627263,0.241690
0.7000,1,11.346076,38.314192,0.619881,0.259385
0.7000,2,11.698840,38.321431,0.626832,0.242760
0.7000,3,12.037678,38.320881,0.626632,0.243253
0.7000,4,12.387094,38.317521,0.623874,0.249972
0.7000,5,113.391113,38.380746,0.623202,-0.251627
0.7000,6,113.042725,38.385241,0.619366,-0.260611
0.7000,7,112.694494,38.383661,0.621142,-0.256493
0.7000,8,112.341776,38.382409,0.622614,-0.253025
0.7000,9,111.988245,38.386208,0.619424,-0.260478
0.7200,0,11.008759,38.327356,0.632893,0.234744
0.7200,1,11.358533,38.319309,0.625812,0.252268
0.7200,2,11.711433,38.326217,0.632481,0.235802
0.7200,3,12.050268,38.325677,0.632289,0.236291
0.7200,4,12.399630,38.322450,0.629646,0.242940
0.7200,5,113.403636,38.375783,0.628995,-0.244601
0.7200,6,113.055172,38.380099,0.625311,-0.253506
0.7200,7,112.706976,38.378601,0.627017,-0.249422
0.7200,8,112.354287,38.377419,0.628430,-0.245986
0.7200,9,112.000693,38.381069,0.625367,-0.253374
0.7400,0,11.021471,38.331980,0.638234,0.227600
0.7400,1,11.371106,38.324281,0.631457,0.244922
0.7400,2,11.724137,38.330862,0.637840,0.228644
0.7400,3,12.062968,38.330331,0.637657,0.229126
0.7400,4,12.412278,38.327237,0.635129,0.235694
0.7400,5,113.416271,38.370964,0.634499,-0.237361
0.7400,6,113.067735,38.375102,0.630971,-0.246170
0.7400,7,112.719573,38.373685,0.632606,-0.242129
0.7400,8,112.366911,38.372571,0.633959,-0.238731
0.7400,9,112.013258,38.376075,0.631024,-0.246040
0.7600,0,11.034287,38.336459,0.643295,0.220290
0.7600,1,11.383790,38.329104,0.636824,0.237381
0.7600,2,11.736945,38.335362,0.642919,0.221319
0.7600,3,12.075772,38.334841,0.642744,0.221794
0.7600,4,12.425033,38.331877,0.640332,0.228269
0.7600,5,113.429014,38.366290,0.639724,-0.229941
0.7600,6,113.080409,38.370254,0.636353,-0.238639
0.7600,7,112.732279,38.368917,0.637916,-0.234647
0.7600,8,112.379644,38.367871,0.639209,-0.231292
0.7600,9,112.025932,38.371229,0.636404,-0.238511
0.7800,0,11.047201,38.340790,0.648084,0.212846
0.7800,1,11.396578,38.333775,0.641919,0.229677
0.7800,2,11.749852,38.339714,0.647726,0.213857
0.7800,3,12.088675,38.339202,0.647560,0.214324
0.7800,4,12.437889,38.336367,0.645264,0.220697
0.7800,5,113.441858,38.361767,0.644679,-0.222372
0.7800,6,113.093188,38.365557,0.641464,-0.230946
0.7800,7,112.745088,38.364301,0.642954,-0.227009
0.7800,8,112.392478,38.363321,0.644187,-0.223703
0.7800,9,112.038712,38.366535,0.641512,-0.230819
0.8000,0,11.060208,38.344972,0.652611,0.205297
