time,robot_id,x,y,vx,vy
3.8200,0,71.365359,36.981142,16.099082,-8.081076
3.8400,0,71.689408,36.821292,16.281799,-7.958086
3.8600,0,72.015166,36.660104,16.253556,-8.219157
3.8800,0,72.340135,36.493620,16.287606,-8.355547
3.9000,0,72.667363,36.327504,16.451331,-8.206630
3.9200,0,72.998595,36.166897,16.667567,-7.862000
3.9400,0,73.333508,36.011416,16.806161,-7.730914
3.9600,0,73.670403,35.856721,16.890186,-7.717812
3.9800,0,74.009864,35.705100,17.065558,-7.404122
4.0000,0,74.352824,35.559998,17.215352,-7.155512
4.0200,0,74.697754,35.416875,17.273395,-7.165485
4.0400,0,75.044342,35.275202,17.400760,-6.941710
4.0600,0,75.393994,35.140580,17.563789,-6.513478
4.0800,0,75.746767,35.014244,17.709246,-6.138725
4.1000,0,76.102207,34.894395,17.832271,-5.852958
4.1200,0,76.460007,34.780118,17.946555,-5.574804
4.1400,0,76.820010,34.671328,18.052217,-5.307046
4.1600,0,77.182033,34.567706,18.148863,-5.056072
4.1800,0,77.545931,34.469135,18.239799,-4.802058
4.2000,0,77.911583,34.375606,18.325485,-4.541092
4.2200,0,78.278979,34.288602,18.413127,-4.119491
4.2400,0,78.648009,34.211773,18.489170,-3.594936
4.2600,0,79.018441,34.141850,18.550557,-3.436671
4.2800,0,79.390079,34.075285,18.614108,-3.167392
4.3000,0,79.762890,34.016905,18.664801,-2.662258
4.3200,0,80.136660,33.965742,18.701692,-2.576851
4.3400,0,80.510323,33.910992,18.648888,-2.939672
4.3600,0,80.882001,33.846842,18.519167,-3.470603
4.3800,0,81.251997,33.774605,18.508211,-3.649520
4.4000,0,81.622831,33.705204,18.574085,-3.223799
4.4200,0,81.994895,33.645670,18.632864,-2.756804
4.4400,0,82.368120,33.594444,18.688518,-2.370948
4.4600,0,82.742410,33.550383,18.739503,-2.038875
4.4800,0,83.117585,33.513634,18.772117,-1.602085
4.5000,0,83.492971,33.487610,18.759914,-0.982669
4.5200,0,83.867888,33.474289,18.730995,-0.355713
4.5400,0,84.242201,33.473067,18.714863,0.131802
4.5600,0,84.617015,33.475844,18.762689,0.185799
4.5800,0,84.991977,33.484441,18.699151,0.774203
4.6000,0,85.363465,33.509477,18.403534,1.783986
4.6200,0,85.725840,33.557786,17.787682,3.073301
4.6400,0,86.073607,33.632750,16.959392,4.424649
4.6600,0,86.411184,33.725156,16.980380,4.575278
4.6800,0,86.752747,33.815490,17.173303,4.455917
4.7000,0,87.098002,33.903398,17.347100,4.348135
4.7200,0,87.446331,33.990370,17.475803,4.378979
4.7400,0,87.796627,34.079625,17.547258,4.559494
4.7600,0,88.148153,34.172691,17.604993,4.742048
4.7800,0,88.500850,34.269008,17.678229,4.830734
4.8000,0,88.855832,34.363029,17.817850,4.573822
4.8200,0,89.213150,34.454018,17.896840,4.586274
4.8400,0,89.570841,34.548761,17.852410,4.927859
4.8600,0,89.928434,34.646765,17.943973,4.745276
4.8800,0,90.288446,34.739311,18.045758,4.569746
4.9000,0,90.649493,34.832345,18.033967,4.796046
4.9200,0,91.009294,34.932168,17.982442,5.056357
4.9400,0,91.370149,35.029572,18.099244,4.706900
4.9600,0,91.732954,35.122406,18.172196,4.618034
4.9800,0,92.096786,35.215188,18.220772,4.562932
5.0000,0,92.462210,35.301817,18.306635,4.214119
5.0200,0,92.827606,35.389534,18.155207,4.687098
5.0400,0,93.184267,35.493747,17.439357,5.778328
5.0600,0,93.523235,35.621200,16.421947,6.968678
